2016-11-08 9:09:58 - PHP Notice:  Undefined variable: username in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/common/column_left.tpl on line 5
2016-11-08 9:10:12 - PHP Notice:  Undefined variable: username in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/common/column_left.tpl on line 5
2016-11-08 9:10:14 - PHP Notice:  Undefined variable: username in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/common/column_left.tpl on line 5
2016-11-08 9:11:10 - PHP Notice:  Undefined variable: username in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/common/column_left.tpl on line 5
2016-11-08 9:11:15 - PHP Notice:  Undefined variable: username in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/common/column_left.tpl on line 5
2016-11-08 9:13:03 - PHP Notice:  Undefined variable: username in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/common/column_left.tpl on line 5
2016-11-08 9:13:05 - PHP Notice:  Undefined variable: username in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/common/column_left.tpl on line 5
2016-11-08 9:13:19 - PHP Notice:  Undefined variable: username in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/common/column_left.tpl on line 5
2016-11-08 9:13:24 - PHP Notice:  Undefined variable: username in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/common/column_left.tpl on line 5
2016-11-08 9:13:42 - PHP Notice:  Undefined variable: username in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/common/column_left.tpl on line 5
2016-11-08 9:13:50 - PHP Notice:  Undefined variable: username in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/common/column_left.tpl on line 5
2016-11-08 9:14:45 - PHP Notice:  Undefined variable: username in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/common/column_left.tpl on line 5
2016-11-08 9:14:49 - PHP Notice:  Undefined variable: username in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/common/column_left.tpl on line 5
2016-11-08 9:15:01 - PHP Notice:  Undefined variable: username in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/common/column_left.tpl on line 5
2016-11-08 9:17:25 - PHP Notice:  Undefined variable: username in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/common/column_left.tpl on line 5
